Name,Address,Phone,Reviews,Ratting,Category,Image,Website,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Description,Others,Company-Link,Search Keywords,Emails,,,,,,,,
Auto Control Technique,"Address: Rue Colonel Bourg 118, 1140 Bruxelles, Belgium ",+32 2 726 91 52,"2,936 reviews",3.6,Car inspection station,https://lh5.googleusercontent.com/p/AF1QipPaDA1NzMcfsG-cvstFFXGIZXugV_83yBb0ENZ3=w408-h306-k-no,autocontrole.be,7am to 5pm,closed,closed,7am to 5pm,7am to 5pm,7am to 5pm,7am to 5pm,,,https://www.google.com/maps/place/Auto+Control+Technique/data=!4m7!3m6!1s0x47c3dcadaa18363d:0x298ef8f20e730599!8m2!3d50.8540153!4d4.412004!16s%2Fg%2F1tyzy4jn!19sChIJPTYYqq3cw0cRmQVzDvL4jik?authuser=0&hl=en&rclk=1,,info@autocontrole.be,,,,,,,,
TIC Council,"Address: Rue du Commerce 20, 1000 Bruxelles, Belgium ",+32 2 880 21 37,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=U9vTAIxGennBQU5An2RLcA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=236.85725&pitch=0&thumbfov=100,tic-council.org,,,,,,,,,,https://www.google.com/maps/place/TIC+Council/data=!4m7!3m6!1s0x47c3c57fbf4a0561:0x6933ae2919613007!8m2!3d50.8400952!4d4.3672782!16s%2Fg%2F11h84r73db!19sChIJYQVKv3_Fw0cRBzBhGSmuM2k?authuser=0&hl=en&rclk=1,,americas@tic-council.org,exams@tic-council.org,india@tic-council.org,mxu@tic-council.org,secretariat@tic-council.org,,,,
Chapps,"Address: Av. du Port 86C/Bus 315, 1000 Bruxelles, Belgium ",,,,Business to business service,https://lh5.googleusercontent.com/p/AF1QipNLhQlekQy5dNcKWB7qupDPH6rLiUiU6x0XSxCu=w408-h408-k-no,chapps.com,9am to 6pm,closed,closed,9am to 6pm,9am to 6pm,9am to 6pm,9am to 6pm,,,https://www.google.com/maps/place/Chapps/data=!4m7!3m6!1s0x47c3c399fd06cf5f:0x34820c8f126f12e5!8m2!3d50.8642058!4d4.3487976!16s%2Fg%2F11c5gwl_3s!19sChIJX88G_ZnDw0cR5RJvEo8MgjQ?authuser=0&hl=en&rclk=1,,info@business.com,salesoffice@chapps.com,sarah@business.com,support@chapps.com,,,,,
ACT Haren,"Address: Rue de la Grenouillette 25, 1130 Bruxelles, Belgium ",+32 2 726 91 52,"1,511 reviews",3.8,Car inspection station,https://lh5.googleusercontent.com/p/AF1QipMQpOKIu79DOyLrd5uChJoGVXZiNxsKk55JZ_rz=w426-h240-k-no,autocontrole.be,7am to 5pm,closed,closed,7am to 5pm,7am to 5pm,7am to 5pm,7am to 7pm,,,https://www.google.com/maps/place/ACT+Haren/data=!4m7!3m6!1s0x47c3dcd45f42e115:0xb4f9ae385a66630f!8m2!3d50.8847115!4d4.4176963!16s%2Fg%2F1tmg5qd4!19sChIJFeFCX9Tcw0cRD2NmWjiu-bQ?authuser=0&hl=en&rclk=1,,info@autocontrole.be,,,,,,,,
La Sécurité Automobile,"Address: Rue du Labeur 3/9, 1070 Anderlecht, Belgium ",+32 2 412 07 12,549 reviews,2.3,Car inspection station,https://lh5.googleusercontent.com/p/AF1QipOQmOU_19sg_100BnUOj45YniHYRuZu0CScLDMo=w408-h306-k-no,securiteautomobile.be,7am to 4:45pm,closed,closed,7am to 4:45pm,7am to 4:45pm,7am to 4:45pm,7am to 4:45pm,,,https://www.google.com/maps/place/La+S%C3%A9curit%C3%A9+Automobile/data=!4m7!3m6!1s0x47c3c4266786c51f:0x83de6c7cfcd3b285!8m2!3d50.8204316!4d4.3089158!16s%2Fg%2F11b77bk2nc!19sChIJH8WGZybEw0cRhbLT_Hxs3oM?authuser=0&hl=en&rclk=1,,,,,,,,,,
Mécanique V - Mécanique et carrosserie agrée,"Address: Chau. de Haecht 409, 1030 Bruxelles, Belgium ",+32 2 215 52 67,226 reviews,4.9,Auto repair shop,https://lh5.googleusercontent.com/p/AF1QipPnBQyLAL5DwK_aX8Vmm6-yrPi6zghDASoNcnoV=w408-h378-k-no,mecanique-v.be,1:30 to 6pm,8:30am to 12:30pm,closed,1:30 to 6pm,1:30 to 6pm,1:30 to 6pm,1:30 to 6pm,,,https://www.google.com/maps/place/M%C3%A9canique+V+-+M%C3%A9canique+et+carrosserie+agr%C3%A9e/data=!4m7!3m6!1s0x47c3c36cd282263f:0x9ab0b377bd7fc1b0!8m2!3d50.8677153!4d4.3782427!16s%2Fg%2F1vc80zn0!19sChIJPyaC0mzDw0cRsMF_vXezsJo?authuser=0&hl=en&rclk=1,,info@mecanique-v.be,,,,,,,,
Atlas Controle,"Address: Bd Lambermont 127, 1030 Schaerbeek, Belgium ",+32 2 726 64 04,42 reviews,4.3,Certification agency,https://lh5.googleusercontent.com/p/AF1QipMe7FP7rW8duqvgacu0-pR6nhVXGBy2RA7cdRBN=w408-h544-k-no,atlascontrole.be,8am to 5pm,closed,closed,8am to 5pm,8am to 5pm,8am to 5pm,8am to 5pm,,,https://www.google.com/maps/place/Atlas+Controle/data=!4m7!3m6!1s0x47c3db26573b65a1:0x6ebb87b1a9b922d9!8m2!3d50.8714722!4d4.3807183!16s%2Fg%2F11hr_gd8w6!19sChIJoWU7Vybbw0cR2SK5qbGHu24?authuser=0&hl=en&rclk=1,,info@atlascontrole.be,office@atlascontrol.be,,,,,,,
1030 Schaerbeek,,,,,Postal code,,,,,,,,,,,,https://www.google.com/maps/place/1030+Schaerbeek/data=!4m7!3m6!1s0x47c30a04fc8859d3:0xa6a443f31b2220d1!8m2!3d50.8625502!4d4.37966!16s%2Fm%2F0w001g2!19sChIJ01mI_AQKw0cR0SAiG_NDpKY?authuser=0&hl=en&rclk=1,,,,,,,,,,
Auto Control Technique,"Address: Rue Colonel Bourg 118, 1140 Bruxelles, Belgium ",+32 2 726 91 52,"2,936 reviews",3.6,Car inspection station,https://lh5.googleusercontent.com/p/AF1QipPaDA1NzMcfsG-cvstFFXGIZXugV_83yBb0ENZ3=w408-h306-k-no,autocontrole.be,7am to 5pm,closed,closed,7am to 5pm,7am to 5pm,7am to 5pm,7am to 5pm,,,https://www.google.com/maps/place/Auto+Control+Technique/data=!4m7!3m6!1s0x47c3dcadaa18363d:0x298ef8f20e730599!8m2!3d50.8540153!4d4.412004!16s%2Fg%2F1tyzy4jn!19sChIJPTYYqq3cw0cRmQVzDvL4jik?authuser=0&hl=en&rclk=1,,info@autocontrole.be,,,,,,,,
Gas Inspector,"Address: Rue des Pères Blancs, 1040 Etterbeek, Belgium ",+32 477 93 44 88,,,Software company,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=p-7S7TF2VeJqU2pjBAAP4Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=176.53084&pitch=0&thumbfov=100,,,,,,,,,,,https://www.google.com/maps/place/Gas+Inspector/data=!4m7!3m6!1s0x47c3c4b5c227162f:0xe71e0a7bbfdfa8d6!8m2!3d50.8266655!4d4.4004038!16s%2Fg%2F11h7pbhjnz!19sChIJLxYnwrXEw0cR1qjfv3sKHuc?authuser=0&hl=en&rclk=1,,,,,,,,,,
Entretien mécanique ixelles,"Address: Rue de la Brasserie 53, 1050 Ixelles, Belgium ",+32 470 30 05 86,4 reviews,5,Mechanic,https://lh5.googleusercontent.com/p/AF1QipMmcu1H9YeeaIdY843JUeqcE8qnv-iK1VSqpK1r=w408-h306-k-no,,9am to 1pm,9am to 6pm,closed,9am to 6pm,9am to 6pm,9am to 6pm,9am to 6pm,,,https://www.google.com/maps/place/Entretien+m%C3%A9canique+ixelles/data=!4m7!3m6!1s0x47c3c59232b3ea4b:0x8876c7e1ecab4a52!8m2!3d50.8289422!4d4.3766415!16s%2Fg%2F11rxj8cync!19sChIJS-qzMpLFw0cRUkqr7OHHdog?authuser=0&hl=en&rclk=1,,,,,,,,,,
Auto Control Technique,"Address: Rue Colonel Bourg 118, 1140 Bruxelles, Belgium ",+32 2 726 91 52,"2,936 reviews",3.6,Car inspection station,https://lh5.googleusercontent.com/p/AF1QipPaDA1NzMcfsG-cvstFFXGIZXugV_83yBb0ENZ3=w408-h306-k-no,autocontrole.be,7am to 5pm,closed,closed,7am to 5pm,7am to 5pm,7am to 5pm,7am to 5pm,,,https://www.google.com/maps/place/Auto+Control+Technique/data=!4m7!3m6!1s0x47c3dcadaa18363d:0x298ef8f20e730599!8m2!3d50.8540153!4d4.412004!16s%2Fg%2F1tyzy4jn!19sChIJPTYYqq3cw0cRmQVzDvL4jik?authuser=0&hl=en&rclk=1,,info@autocontrole.be,,,,,,,,
Car'm,"Address: Av. Julien Hanssens 9, 1080 Molenbeek-Saint-Jean, Belgium ",+32 488 79 99 90,,,Car inspection station,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=M8aIWbb-8zrNhOGhKSu47A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=204.97939&pitch=0&thumbfov=100,,open 24 hours,open 24 hours,closed,open 24 hours,open 24 hours,open 24 hours,open 24 hours,,,https://www.google.com/maps/place/Car%27m/data=!4m7!3m6!1s0x47c3c3bed0af1d15:0x3374105994a8ed19!8m2!3d50.8638325!4d4.3383389!16s%2Fg%2F11td32n4vd!19sChIJFR2v0L7Dw0cRGe2olFkQdDM?authuser=0&hl=en&rclk=1,,,,,,,,,,
Passage Contrôle technique/Location plaque Z/ Sortie de fourrière /Carroserie Mécanique,"Address: Rue de la Lys 6, 1080 Bruxelles, Belgium ",+32 495 76 83 15,3 reviews,3.7,Car repair and maintenance service,https://lh5.googleusercontent.com/p/AF1QipOKlTsYPw1-XlMokpn7AY6LGJq5IrGT2cEmR-Tq=w429-h240-k-no,,open 24 hours,open 24 hours,closed,open 24 hours,open 24 hours,open 24 hours,open 24 hours,,,https://www.google.com/maps/place/Passage+Contr%C3%B4le+technique%2FLocation+plaque+Z%2F+Sortie+de+fourri%C3%A8re+%2FCarroserie+M%C3%A9canique/data=!4m7!3m6!1s0x47c3c51112ba6789:0x7d9e344303a0e1bf!8m2!3d50.8644898!4d4.3327394!16s%2Fg%2F11js_xq7dv!19sChIJiWe6EhHFw0cRv-GgA0M0nn0?authuser=0&hl=en&rclk=1,,,,,,,,,,
