Postcode,Town
1000,Brussel
1020,Laken
1030,Schaarbeek
1040,Etterbeek
1050,Elsene
1060,Sint-Gillis
1080,Sint-Jans-Molenbeek
1081,Koekelberg
1082,Sint-Agatha-Berchem
1083,Ganshoren
1090,Jette
1120,Neder-Over-Heembeek
1130,Haren
1140,Evere
1150,Sint-Pieters-Woluwe
1160,Oudergem
1170,Watermaal-Bosvoorde
1180,Ukkel
1190,Vorst
1200,Sint-Lambrechts-Woluwe
1210,Sint-Joost-ten-Node
1300,Wavre
1300,Limal
1301,Bierges
1310,La Hulpe
1315,Incourt
1315,Opprebais
1315,Piétrebais
1315,Glimes
1315,Roux-Miroir
1320,Beauvechain
1320,Hamme-Mille
1320,Tourinnes-la-Grosse
1320,Nodebais
1320,L’Ecluse
1325,Chaumont-Gistoux
1325,Corroy-le-Grand
1325,Longueville
1325,Bonlez
1325,Dion-Valmont
1330,Rixensart
1332,Genval
1340,Ottignies-Louvain-la-Neuve
1340,Ottignies
1341,Céroux-Mousty
1342,Limelette
1348,Louvain-la-Neuve
1350,Orp-Jauche
1350,Jauche
1350,Orp-le-Grand
1350,Jandrain-Jandrenouille
1350,Noduwez
1350,Marilles
1350,Folx-les-Caves
1350,Énines
1351,Rosières
1357,Hélécine
1357,Neerheylissem
1357,Opheylissem
1357,Linsmeau
1360,Perwez
1360,Thorembais-Saint-Trond
1360,Malèves-Sainte-Marie-Wastines
1360,Thorembais-les-Béguines
1360,Orbais
1367,Ramillies
1367,Huppaye
1367,Geest-Gérompont-Petit-Rosière
1367,Ramillies-Offus
1367,Autre-Église
1367,Mont-Saint-André
1367,Grand-Rosière-Hottomont
1367,Bomal
1367,Gérompont
1370,Jodoigne
1370,Zétrud-Lumay
1370,Mélin
1370,Piétrain
1370,Lathuy
1370,Saint-Jean-Geest
1370,Saint-Remy-Geest
1370,Dongelberg
1370,Jodoigne-Souveraine
1370,Jauchelette
1380,Lasne
1380,Ohain
1380,Lasne-Chapelle-Saint-Lambert
1380,Plancenoit
1380,Couture-Saint-Germain
1380,Maransart
1390,Grez-Doiceau
1390,Bossut-Gottechain
1390,Nethen
1390,Archennes
1390,Biez
1400,Nivelles
1400,Monstreux
1401,Baulers
1402,Thines
1404,Bornival
